TRIP_DURATION,DISTANCE_TRAVELED,NUM_OF_PASSENGERS,FARE,TIP,MISCELLANEOUS_FEES,TOTAL_FARE,SURGE_APPLIED
701,3,1,75,0,27,102,1
150,1,1,30,9,6,45,0
1787,18,1,236,188,13,437,0
917,3,1,86,0,27,113,1
777,3,1,79,23,34,135,1
641,5,1,86,0,30,117,1
508,3,1,60,0,6,66,0
320,2,1,41,0,10,51,0
1231,7,1,124,0,6,130,0
640,6,1,105,30,43,178,0
1263,11,1,173,8,26,207,1
1180,3,1,98,31,27,155,1
415,2,1,49,0,10,59,0
1256,5,1,113,15,14,141,0
959,14,1,188,0,6,194,0
913,6,1,101,26,26,153,1
569,2,1,56,0,14,70,0
2012,7,1,165,0,6,171,0
633,4,1,79,0,6,85,0
288,2,1,45,15,10,70,0
617,4,1,71,0,10,81,0
1339,5,1,113,15,6,134,0
343,2,1,45,11,10,66,0
1600,5,1,135,30,13,178,0
3266,30,1,409,83,6,498,0
1888,7,1,161,38,26,225,1
864,3,1,75,0,14,89,0
1076,5,1,109,23,6,138,0
1570,4,1,128,31,26,185,1
1890,18,1,263,72,27,361,1
314,1,1,41,9,6,57,0
484,2,1,53,19,9,81,0
318,2,1,45,0,14,59,0
1147,11,1,161,22,10,194,0
881,3,6,79,0,6,85,0
773,2,1,71,13,6,90,0
999,3,1,86,23,6,115,0
240,2,1,41,10,10,61,0
1048,6,2,113,29,30,171,1
602,2,1,60,0,6,66,0
955,17,1,221,57,6,284,0
248,2,6,41,11,13,66,0
426,1,1,49,0,14,62,0
1738,8,1,154,0,6,160,0
953,6,1,105,26,27,158,1
1229,6,1,120,8,26,154,1
735,2,1,68,0,6,74,0
334,2,1,49,18,9,76,0
1431,5,3,68,0,2,70,0
957,4,2,86,0,14,100,0
1037,11,1,161,0,27,188,1
1113,16,1,225,45,3,273,0
1117,5,1,109,0,27,135,1
3796,8,1,281,0,6,287,0
869,3,1,83,0,6,89,0
1176,6,1,113,28,26,167,1
1397,6,2,135,22,27,184,1
575,6,1,101,0,6,107,0
1040,7,1,120,0,14,134,0
579,2,1,56,0,6,62,0
1140,10,1,154,0,6,160,0
1026,6,5,109,27,27,162,1
1061,9,1,143,22,27,192,1
258,2,1,45,15,13,73,0
261,1,3,38,8,6,51,0
3251,18,1,319,0,27,345,1
1360,6,1,109,0,6,115,0
314,1,1,41,0,6,47,0
1080,6,2,124,26,6,156,0
1695,5,1,139,13,6,158,0
1039,6,1,109,8,13,130,0
1300,5,1,124,39,35,197,1
2229,4,2,165,38,27,230,1
704,3,1,75,0,6,81,0
287,1,1,38,0,14,51,0
244,1,5,34,12,13,59,0
543,2,1,60,0,10,70,0
392,2,1,45,17,14,76,0
602,4,1,79,0,27,105,1
1394,13,1,195,38,30,263,1
410,2,1,49,16,13,78,0
433,3,1,56,16,10,83,0
1066,6,1,105,0,14,119,0
744,3,1,75,20,6,101,0
1255,5,1,113,0,6,119,0
713,3,1,75,0,14,89,0
412,2,2,49,0,10,59,0
2482,23,1,338,0,76,413,1
248,1,1,38,8,6,51,0
424,3,1,56,10,10,76,0
816,4,1,90,0,6,96,0
233,2,2,41,0,6,47,0
1514,9,1,165,0,27,192,1
891,7,1,120,30,6,156,0
1248,11,1,169,39,27,234,1
760,5,1,94,21,9,124,0
349,1,1,41,8,6,55,0
542,2,1,56,0,14,70,0
1501,5,1,131,33,34,198,1
478,3,1,60,38,6,104,0
470,2,1,53,16,9,78,0
1124,4,1,98,0,27,124,1
498,3,1,68,24,26,118,1
435,1,1,49,0,6,55,0
823,3,1,83,19,14,115,0
607,1,1,56,8,6,70,0
300,1,1,41,12,6,59,0
1753,7,1,150,0,27,177,1
325,1,1,41,0,27,68,1
607,6,1,98,0,10,107,0
946,2,1,83,18,6,106,0
527,3,1,60,0,10,70,0
380,1,1,45,0,6,51,0
551,2,5,56,0,6,62,0
274,2,1,41,0,6,47,0
896,4,1,94,20,6,120,0
1676,3,1,128,31,26,185,1
313,1,1,41,0,10,51,0
1476,11,1,176,38,26,240,1
1694,12,1,179,18,51,248,0
397,2,1,49,15,9,73,0
1566,15,1,225,60,76,361,1
1187,11,1,338,0,49,387,0
964,8,1,116,12,6,134,0
1333,7,1,128,0,14,141,0
677,2,1,68,15,6,88,0
1128,4,1,113,0,2,115,0
715,4,1,75,22,34,131,1
796,3,1,71,0,6,77,0
2059,10,1,203,42,6,250,0
609,3,1,71,0,6,77,0
664,2,2,64,14,6,84,0
818,8,1,128,22,35,184,1
891,3,1,83,0,27,109,1
1447,5,1,128,0,34,162,1
1093,8,1,139,34,30,203,1
1532,8,1,158,0,10,167,0
812,4,1,86,23,31,140,1
352,2,1,45,10,6,61,0
4220,16,2,525,0,51,576,0
1181,10,1,154,41,10,204,0
239,2,2,41,15,10,66,0
573,4,1,71,0,6,77,0
1540,5,1,131,0,27,158,1
1007,3,1,90,0,27,117,1
255,1,1,34,0,6,40,0
316,1,2,41,0,6,47,0
1071,4,1,101,0,27,128,1
967,3,1,86,30,34,150,1
265,1,1,34,10,34,78,1
944,4,1,86,18,6,111,0
1362,11,1,176,0,6,182,0
816,4,3,86,0,34,120,1
2211,9,1,191,41,13,246,0
1230,6,1,120,0,6,126,0
1242,6,1,113,0,27,139,1
792,5,1,90,22,35,147,1
1412,7,2,131,29,13,174,0
585,2,1,60,24,34,118,1
650,6,3,98,21,6,124,0
1263,4,1,113,24,6,142,0
403,2,1,49,15,6,70,0
933,9,1,143,22,27,192,1
3375,6,1,255,0,6,261,0
798,4,1,83,22,27,132,1
721,5,1,94,15,27,135,1
43353,9,1,150,0,76,226,1
449,1,1,75,0,2,77,0
1055,5,1,105,0,6,111,0
1582,7,5,161,38,26,225,1
2256,17,1,263,38,26,327,1
2711,20,1,308,68,30,405,1
1356,5,2,124,16,34,174,1
321,1,1,38,0,14,51,0
685,3,1,71,15,6,93,0
373,2,1,49,12,14,75,0
359,1,1,45,0,6,51,0
325,1,1,41,0,6,47,0
317,2,2,45,15,30,90,1
190,1,1,30,0,6,36,0
935,11,1,154,46,30,230,1
1295,6,5,120,25,6,151,0
1063,5,1,101,26,31,158,1
195,1,1,34,0,10,44,0
653,4,1,83,0,30,113,1
363,1,2,41,0,6,47,0
246,1,1,38,9,6,52,0
1073,3,2,94,13,13,120,0
471,2,2,53,20,26,99,1
1334,6,1,124,30,27,180,1
2519,15,1,255,56,27,338,1
449,3,2,60,0,34,94,1
570,2,1,60,0,6,66,0
569,6,1,113,23,2,138,0
191,1,1,30,0,6,36,0
1232,5,1,109,0,27,135,1
959,5,1,98,8,26,132,1
1031,6,1,109,27,27,162,1
2324,5,1,176,20,27,223,1
818,2,1,79,22,7,107,0
2309,18,1,278,61,26,365,1
1373,4,1,113,42,26,181,1
489,3,1,60,27,31,118,1
523,2,1,64,21,6,90,0
513,4,1,75,0,10,85,0
713,6,1,94,0,10,104,0
805,4,1,83,14,27,123,1
1051,5,6,109,0,27,135,1
1603,9,5,154,46,76,275,1
437,2,5,53,0,6,59,0
919,16,1,206,54,10,270,0
878,11,1,158,43,55,255,0
1217,5,1,113,0,30,143,1
763,6,1,105,24,13,142,0
234,1,1,38,10,14,61,0
235,2,2,41,0,6,47,0
481,2,3,56,0,10,66,0
1609,17,1,240,54,30,324,1
195,1,1,34,13,6,53,0
403,2,1,49,12,14,75,0
1584,12,5,195,0,30,225,1
815,3,1,71,0,6,77,0
237,1,1,34,0,6,40,0
481,2,1,56,12,6,75,0
817,3,1,75,0,14,89,0
795,3,2,79,0,6,85,0
418,2,1,49,0,14,62,0
673,3,1,71,0,6,77,0
404,1,1,49,21,34,104,1
1551,7,1,146,15,27,188,1
290,2,1,45,0,10,55,0
1149,7,1,131,19,26,177,1
1135,5,1,105,26,27,158,1
414,2,1,49,15,27,90,1
1358,5,1,120,29,27,176,1
1752,9,1,158,46,27,230,1
1239,4,1,105,8,13,126,0
1045,4,1,90,0,27,117,1
248,2,1,41,0,14,55,0
661,3,1,68,0,6,74,0
1143,4,1,105,28,6,139,0
1243,12,1,176,38,6,220,0
910,4,1,86,23,26,135,1
1108,3,1,94,24,27,144,1
498,3,1,64,0,14,77,0
1368,5,1,120,15,26,161,1
1594,9,1,158,37,26,221,1
1433,5,1,120,15,26,161,1
1326,4,1,109,23,6,138,0
2443,6,1,184,0,34,218,1
306,2,1,45,12,13,70,0
370,2,1,49,11,6,66,0
461,3,1,60,14,10,84,0
1003,6,1,101,15,34,150,1
774,4,1,86,18,6,111,0
1617,15,2,218,22,27,267,1
481,2,6,53,12,6,70,0
1189,11,1,173,36,6,214,0
533,2,1,56,0,14,70,0
1369,5,1,113,42,26,181,1
676,4,1,79,0,6,85,0
1047,12,1,169,0,10,179,0
700,4,1,79,21,27,126,1
485,2,1,53,0,27,79,1
512,2,1,56,0,6,62,0
171,2,1,38,0,6,44,0
470,2,1,60,14,10,84,0
649,4,1,79,0,6,85,0
182,1,1,34,0,10,44,0
379,1,1,45,0,6,51,0
1961,6,1,154,36,27,216,1
389,1,1,41,9,6,57,0
808,5,1,94,13,27,134,1
576,3,1,64,15,14,93,0
693,3,1,71,0,27,98,1
1530,6,1,135,0,6,141,0
2467,1,1,45,0,6,51,0
1637,10,2,173,22,10,205,0
398,3,1,53,0,30,83,1
204,1,1,30,0,6,36,0
681,6,1,105,22,6,133,0
2094,8,1,180,51,76,307,1
917,4,2,86,0,6,92,0
419,2,2,49,0,6,55,0
324,2,1,75,8,2,85,0
374,2,1,49,0,6,55,0
313,1,2,41,15,34,90,1
407,1,2,113,0,2,115,0
1455,8,2,154,0,10,164,0
761,6,1,109,23,6,138,0
337,3,2,56,0,30,87,1
813,9,1,131,0,6,137,0
887,5,1,94,0,27,120,1
553,2,1,60,8,6,74,0
614,6,1,101,21,6,129,0
865,5,1,98,25,26,149,1
1029,6,1,109,29,34,171,1
361,1,1,41,9,6,57,0
781,8,1,113,21,34,167,1
848,15,2,263,22,3,287,0
996,3,1,90,4,6,100,0
492,2,1,53,16,9,78,0
513,2,1,56,18,34,108,1
380,2,1,49,12,14,75,0
1360,3,1,113,0,6,119,0
676,4,1,83,0,10,92,0
841,2,1,71,0,6,77,0
620,2,1,64,19,30,113,1
426,2,3,49,0,6,55,0
747,5,1,86,0,27,113,1
856,4,1,94,0,10,104,0
751,8,1,124,22,31,177,1
432,2,2,53,0,10,62,0
514,2,1,56,25,27,108,1
1150,5,1,109,0,6,115,0
1824,17,3,488,0,2,490,0
1067,8,3,139,0,34,173,1
694,3,1,75,20,27,122,1
663,3,2,75,0,27,102,1
2383,7,1,184,59,14,256,0
1363,12,1,184,0,6,190,0
428,2,6,53,0,6,59,0
2177,8,1,184,44,34,261,1
409,2,1,49,8,6,62,0
163,1,1,30,0,6,36,0
741,5,1,90,0,27,117,1
313,1,6,41,0,10,51,0
1000,5,2,86,19,10,115,0
476,2,1,53,15,6,73,0
1438,12,1,191,15,6,212,0
384,2,1,53,16,9,78,0
105,1,1,26,0,10,36,0
661,3,1,113,0,2,115,0
739,3,1,75,8,6,89,0
1049,9,1,143,0,6,149,0
1465,5,1,116,0,6,122,0
574,3,1,64,0,6,70,0
417,2,1,53,12,6,70,0
948,9,1,143,34,26,203,1
695,3,1,71,15,34,120,1
132,1,1,30,9,13,52,0
567,5,1,90,29,55,174,0
851,4,1,83,22,26,131,1
628,4,1,75,22,35,132,1
618,2,1,60,0,6,66,0
1248,5,3,113,0,14,126,0
955,5,1,101,0,27,128,1
320,2,2,45,0,6,51,0
1283,6,5,120,15,26,161,1
814,4,1,83,11,31,124,1
210,1,1,34,0,6,40,0
988,9,1,131,34,6,171,0
1539,6,1,131,0,34,165,1
578,2,1,60,14,34,108,1
776,2,2,71,0,14,85,0
248,1,1,38,0,10,47,0
1373,10,1,154,32,6,192,0
566,2,1,60,20,6,86,0
2066,22,4,300,45,2,347,0
531,3,1,56,0,27,83,1
1630,8,1,154,36,27,216,1
992,3,2,90,0,14,104,0
355,2,2,49,0,10,59,0
1315,3,1,105,0,14,119,0
1780,15,1,221,0,34,255,1
881,13,1,176,0,6,182,0
1251,4,2,105,8,14,127,0
1569,4,1,128,28,14,169,0
602,4,1,71,0,27,98,1
431,2,1,49,0,14,62,0
200,1,5,38,11,6,54,0
270,1,2,38,9,6,52,0
398,2,2,49,0,14,62,0
341,2,1,45,0,6,51,0
366,1,1,41,0,14,55,0
397,2,6,49,15,27,90,1
864,4,1,94,24,27,144,1
1092,7,1,120,29,27,176,1
489,3,1,56,1,6,63,0
786,3,1,79,11,6,96,0
656,2,1,68,8,26,102,1
461,2,1,53,13,14,79,0
734,4,1,79,0,6,85,0
1331,5,1,120,29,27,176,1
1131,3,1,98,22,14,133,0
866,6,1,98,15,34,147,1
349,1,1,41,9,6,57,0
553,3,4,64,14,6,84,0
1291,5,1,116,30,34,180,1
684,7,1,109,30,9,148,0
250,1,3,38,0,6,44,0
415,2,2,49,0,10,59,0
1084,12,1,169,0,14,182,0
72351,3,1,68,0,10,77,0
198,1,1,34,22,7,62,0
1087,6,1,109,0,14,122,0
1393,10,1,154,32,6,192,0
507,2,1,56,14,13,84,0
1264,11,1,173,40,29,241,0
714,5,2,83,8,26,117,1
112,1,1,26,0,6,32,0
670,3,1,71,0,6,77,0
263,1,1,38,22,10,70,0
1126,4,1,105,26,27,158,1
521,1,1,53,18,6,76,0
2280,16,3,244,0,14,257,0
700,3,1,71,16,10,97,0
585,3,1,68,0,10,77,0
1891,17,1,244,0,76,320,1
1028,11,1,158,0,14,171,0
832,3,1,79,0,6,85,0
1205,15,2,214,0,10,224,0
534,3,1,64,0,10,74,0
628,2,1,64,0,6,70,0
502,3,1,60,13,10,83,0
647,3,1,68,24,14,105,0
459,3,5,56,6,6,68,0
569,2,1,60,9,14,83,0
625,3,1,71,20,26,117,1
771,3,1,75,11,6,92,0
553,3,1,64,0,14,77,0
1105,5,1,109,0,6,115,0
419,3,1,53,12,10,75,0
844,4,1,86,18,6,111,0
936,3,1,86,20,13,120,0
1497,12,1,525,137,23,685,1
1164,6,1,113,0,6,119,0
614,2,1,64,14,6,84,0
380,2,1,49,15,9,73,0
536,3,1,60,0,6,66,0
493,2,1,53,0,6,59,0
1039,5,1,109,0,27,135,1
269,1,1,34,15,6,55,0
1049,7,1,120,15,27,162,1
630,2,1,64,5,6,75,0
700,8,2,116,60,30,207,1
791,11,1,150,31,55,236,0
450,2,1,53,18,6,76,0
1530,6,4,131,0,6,137,0
21383,15,1,266,0,27,293,1
420,2,5,49,0,6,55,0
315,1,1,41,0,6,47,0
694,7,2,116,0,6,122,0
954,4,1,94,0,6,100,0
3856,28,2,390,111,55,556,0
992,4,2,94,20,6,120,0
2243,11,1,206,47,26,279,1
457,1,1,49,0,14,62,0
715,5,1,90,11,6,107,0
2604,9,1,214,0,14,227,0
563,3,1,68,19,10,97,0
650,2,1,53,60,14,126,0
310,1,1,41,0,14,55,0
591,4,1,71,20,31,122,1
3849,13,1,296,83,34,413,1
469,1,1,49,0,6,55,0
851,4,1,86,23,26,135,1
946,4,2,94,0,6,100,0
1813,8,1,161,29,34,225,1
1083,6,1,113,24,10,147,0
481,2,1,53,0,27,79,1
1797,19,1,263,0,6,269,0
3452,16,1,300,0,6,306,0
697,6,2,101,0,6,107,0
772,4,1,79,18,9,106,0
1153,4,1,98,21,10,129,0
2048,12,1,218,0,10,227,0
660,3,1,64,14,6,84,0
3652,18,1,319,0,34,353,1
624,4,1,83,22,6,111,0
671,2,1,64,14,6,84,0
462,2,1,56,15,6,77,0
369,1,1,41,9,14,64,0
659,5,5,90,15,10,115,0
176,1,1,34,0,14,47,0
478,8,1,113,0,6,119,0
602,3,1,68,0,6,74,0
1270,16,1,214,0,59,273,0
1048,3,2,86,0,6,92,0
1294,7,1,120,29,27,176,1
593,3,1,68,15,6,88,0
685,2,1,68,15,6,88,0
1048,5,1,101,21,6,129,0
1648,10,1,176,0,27,203,1
536,4,1,68,15,30,113,1
830,6,1,101,29,13,143,0
139,1,1,30,0,10,40,0
150,1,1,30,0,14,44,0
616,3,1,68,0,27,94,1
454,2,2,56,0,10,66,0
1194,5,1,90,0,14,104,0
406,2,1,49,11,6,66,0
845,4,1,83,22,26,131,1
365,1,1,45,10,6,61,0
2100,20,5,281,89,76,446,1
163,1,1,34,14,14,61,0
474,2,1,53,12,6,70,0
486,2,1,56,8,13,77,0
105,1,1,26,9,10,45,0
902,11,2,158,42,56,255,0
377,2,1,49,0,6,55,0
6344,27,1,544,0,6,550,0
298,2,1,49,0,6,55,0
608,3,1,64,0,14,77,0
2164,16,3,263,64,59,386,0
1397,13,1,191,74,55,320,0
638,5,1,90,0,10,100,0
356,2,1,45,7,6,58,0
1107,8,1,135,0,10,145,0
1942,23,1,319,0,6,325,0
974,4,1,69,0,27,96,1
1281,5,1,113,0,10,122,0
985,5,1,98,26,34,158,1
1276,9,1,150,37,34,221,1
681,4,3,75,0,34,109,1
477,2,1,56,16,6,78,0
2204,9,1,188,55,35,277,1
718,8,1,120,22,7,149,0
1069,3,1,94,0,34,128,1
903,7,1,120,0,6,126,0
309,2,2,41,9,6,57,0
374,2,1,53,0,6,59,0
4841,10,1,345,0,6,351,0
3656,22,1,416,0,6,422,0
1127,4,1,98,26,6,129,0
498,2,1,56,8,6,70,0
1540,4,1,124,27,14,165,0
389,1,5,49,19,26,94,1
725,3,1,69,0,6,75,0
706,5,1,90,30,30,150,1
1972,6,1,161,0,6,167,0
2430,8,1,191,45,34,270,1
977,4,1,98,22,14,133,0
719,3,1,75,16,6,97,0
580,3,6,64,14,6,84,0
404,2,1,53,16,26,95,1
1389,5,1,128,15,14,156,0
771,10,1,143,0,29,171,0
1536,7,1,146,35,26,207,1
1590,15,1,240,32,2,274,0
455,2,5,53,0,6,59,0
1006,2,1,86,15,27,128,1
1599,5,1,128,30,27,184,1
623,2,1,64,14,6,84,0
582,2,1,60,0,14,74,0
930,3,1,86,0,6,92,0
433,3,1,56,0,30,87,1
315,2,1,41,13,10,64,0
773,5,1,90,0,30,120,1
771,15,2,263,53,2,318,0
1295,8,1,143,34,26,203,1
1471,13,1,199,45,27,270,1
1183,10,1,161,0,34,195,1
1745,9,1,176,41,26,243,1
466,3,1,56,0,14,70,0
632,4,1,75,0,27,102,1
187,1,1,34,0,6,40,0
1944,4,1,158,0,6,164,0
304,1,1,38,9,10,57,0
544,5,1,83,0,10,92,0
422,1,1,49,0,6,55,0
1146,6,1,113,29,34,176,1
1135,10,1,158,48,34,239,1
1276,27,1,390,89,55,534,0
882,6,1,101,21,6,129,0
367,1,1,45,0,6,51,0
307,1,1,41,9,6,57,0
720,6,1,101,23,13,138,0
1150,4,1,105,28,34,167,1
353,2,1,45,0,6,51,0
1150,5,1,109,20,6,135,0
1791,9,1,180,43,34,257,1
593,2,1,64,17,6,87,0
1792,9,1,173,0,27,199,1
307,5,1,77,0,2,80,0
501,2,1,53,13,14,79,0
1566,8,1,146,15,27,188,1
1812,11,1,199,45,27,270,1
259,1,1,38,0,6,44,0
189,1,1,30,0,6,36,0
205,1,1,34,5,6,45,0
531,3,1,90,0,2,92,0
687,3,1,71,0,34,105,1
452,2,1,49,14,6,68,0
309,2,1,60,12,3,75,0
470,2,1,53,0,14,66,0
369,2,3,49,8,6,62,0
1902,11,3,195,0,27,222,1
1414,12,1,184,0,63,246,0
467,2,1,53,15,6,73,0
1307,7,5,131,32,26,189,1
581,3,1,68,15,6,89,0
401,2,1,53,12,10,75,0
140,1,1,30,38,6,74,0
548,4,1,71,8,26,105,1
994,3,1,86,20,13,120,0
607,3,1,68,0,6,74,0
734,7,1,109,27,27,162,1
643,2,1,60,0,6,66,0
385,2,1,90,0,2,92,0
538,4,1,71,0,6,77,0
1719,7,1,146,30,6,183,0
577,3,1,68,15,10,93,0
674,2,1,64,0,14,77,0
263,1,1,38,9,6,52,0
414,2,1,53,0,10,62,0
223,1,1,34,0,6,40,0
1093,5,1,105,13,27,145,1
637,2,1,64,8,6,77,0
414,1,1,49,0,6,55,0
403,2,1,49,0,6,55,0
346,2,1,45,13,6,64,0
463,2,1,53,8,6,66,0
1034,4,1,101,15,27,143,1
966,6,1,109,28,30,167,1
307,3,1,60,23,30,113,1
543,2,1,60,16,7,83,0
816,3,1,79,0,6,85,0
869,11,5,158,33,10,201,0
572,2,1,56,17,26,99,1
804,3,1,79,0,6,85,0
341,2,1,49,0,6,55,0
698,3,1,71,0,27,98,1
1158,7,1,120,29,27,176,1
535,2,1,53,0,10,62,0
575,3,1,71,0,6,77,0
2063,12,1,221,62,27,310,1
706,3,1,68,15,6,89,0
443,2,1,56,0,6,62,0
1028,8,1,131,32,26,189,1
1043,4,1,105,0,6,111,0
899,8,1,124,46,31,200,1
453,2,1,53,2,6,60,0
706,3,1,71,0,27,98,1
628,3,1,71,0,6,77,0
595,4,1,71,15,27,113,1
624,2,1,60,15,13,88,0
1632,26,1,458,0,10,467,0
737,3,1,71,15,6,93,0
343,2,1,41,8,6,55,0
952,7,1,128,28,14,169,0
700,5,1,113,23,2,138,0
311,1,1,38,0,6,44,0
657,4,1,75,16,6,97,0
495,2,1,56,12,6,75,0
268,2,1,45,10,6,61,0
494,2,1,56,0,6,62,0
941,4,1,86,23,26,135,1
2599,22,1,316,29,128,474,1
2119,12,1,214,0,6,220,0
969,5,1,105,0,6,111,0
648,2,1,60,0,6,66,0
1358,8,1,188,0,2,190,0
301,2,1,45,0,10,55,0
787,5,1,94,0,10,104,0
649,6,2,101,27,6,134,0
1110,4,1,98,0,10,107,0
1684,8,1,154,38,34,225,1
769,4,2,86,0,6,92,0
1349,17,1,274,57,14,345,0
684,5,2,86,20,13,120,0
1134,4,2,98,0,6,104,0
560,2,1,75,0,2,77,0
9,1,1,19,0,10,29,0
648,3,1,71,20,26,117,1
1316,7,1,124,45,27,196,1
448,2,1,49,11,6,66,0
493,3,1,60,0,6,66,0
555,3,6,64,0,10,74,0
907,5,1,105,0,6,111,0
2153,3,1,158,34,14,205,0
1634,12,1,191,45,34,270,1
597,2,1,60,8,6,74,0
307,1,2,41,11,13,66,0
1866,4,1,146,30,6,183,0
317,2,1,38,0,34,72,1
663,3,1,75,0,6,81,0
811,4,1,86,24,34,144,1
937,4,1,90,23,27,140,1
718,3,1,71,0,14,85,0
1636,12,2,191,0,27,218,1
1446,13,5,199,0,6,205,0
1342,4,1,105,0,6,111,0
505,1,2,53,0,14,66,0
946,9,1,139,8,34,180,1
783,2,1,71,0,6,77,0
339,1,1,41,15,6,62,0
672,2,1,64,17,6,87,0
995,5,1,101,0,14,115,0
822,4,1,83,29,34,146,1
284,2,1,49,0,6,55,0
250,1,1,38,0,10,47,0
856,8,2,124,39,30,193,1
1435,7,1,131,32,26,189,1
398,1,1,45,10,6,61,0
762,5,1,83,8,34,124,1
943,4,2,90,19,34,143,1
1917,8,1,169,29,27,225,1
718,4,1,79,0,6,85,0
654,3,1,75,22,34,131,1
269,1,1,41,0,6,47,0
702,3,1,71,25,14,110,0
846,2,1,75,16,6,97,0
917,6,1,101,27,6,134,0
704,3,1,71,19,6,97,0
890,5,1,94,20,6,120,0
196,1,2,34,8,6,48,0
125,1,6,30,8,6,44,0
946,4,1,90,19,26,135,1
865,3,1,86,18,6,111,0
640,3,1,68,0,34,102,1
3157,16,2,293,0,34,327,1
425,2,1,53,0,34,87,1
912,7,1,113,0,27,139,1
869,6,1,98,25,26,149,1
959,11,1,161,54,55,270,0
439,3,1,53,0,6,59,0
891,5,1,98,37,27,161,1
1660,7,1,150,31,6,187,0
389,3,1,60,14,10,84,0
1004,4,1,98,0,27,124,1
525,1,6,53,16,14,83,0
745,3,1,79,0,10,89,0
1155,9,2,146,19,30,195,1
625,3,1,68,22,14,104,0
819,8,2,120,19,6,145,0
1629,10,1,165,0,27,192,1
514,3,1,60,0,6,66,0
1269,6,1,116,0,27,143,1
674,3,1,68,15,6,88,0
623,3,1,68,15,6,88,0
844,3,1,79,21,6,106,0
1620,10,2,173,36,10,219,0
1356,5,1,116,29,26,171,1
4366,10,1,173,0,2,175,0
1270,3,1,105,0,14,119,0
328,2,6,45,11,10,66,0
397,3,1,53,0,10,62,0
1418,4,1,120,27,13,160,0
1070,5,1,109,15,6,130,0
517,2,1,53,0,10,62,0
1442,8,1,146,0,6,152,0
241,1,1,38,4,6,47,0
649,5,1,86,18,6,111,0
258,2,1,41,14,13,68,0
875,4,1,90,19,6,115,0
778,3,1,79,17,6,102,0
1423,1,1,109,0,6,115,0
405,2,2,49,0,30,79,1
2003,11,1,214,15,27,255,1
519,2,5,60,0,14,74,0
1315,12,1,184,23,27,233,1
566,3,1,64,0,6,70,0
1062,7,1,120,15,27,162,1
866,3,1,75,0,6,81,0
900,2,1,79,0,6,85,0
3246,27,1,390,0,55,445,0
521,4,1,64,15,9,88,0
1336,6,2,128,15,6,149,0
859,6,1,101,19,10,130,0
595,2,1,60,9,6,75,0
1174,6,2,120,15,27,162,1
1398,13,2,188,44,30,261,1
803,4,2,83,0,6,89,0
633,3,1,71,19,6,97,0
1039,4,1,98,25,26,149,1
544,2,1,56,13,10,79,0
651,4,1,79,0,6,85,0
1710,7,1,158,0,2,160,0
424,2,1,53,8,30,90,1
811,4,1,83,22,35,139,1
652,3,1,68,22,6,96,0
1167,15,1,203,0,10,212,0
421,3,1,60,15,13,88,0
